timeStamp,elapsed,threadName,success,bytes,Latency,IdleTime,Connect
1474979742357,1758,request threads 1-15,true,400505,1757,0,0
1474979742376,1959,request threads 1-17,true,400509,1958,0,1
1474979742516,1857,request threads 1-19,true,400505,1856,0,1
1474979743607,919,request threads 1-12,true,400507,919,0,0
1474979743637,1100,request threads 1-2,true,400505,1100,0,0
1474979742871,1885,request threads 1-3,true,400509,1885,0,0
1474979743031,1917,request threads 1-13,true,400507,1916,0,1
1474979743607,1391,request threads 1-10,true,400507,1391,0,0
1474979743949,1168,request threads 1-8,true,400507,1168,0,0
1474979743487,1670,request threads 1-7,true,400509,1670,0,0
1474979743714,1553,request threads 1-20,true,400507,1553,0,0
1474979743460,1966,request threads 1-9,true,400507,1966,0,1
1474979743637,1976,request threads 1-18,true,400509,1976,0,0
1474979743667,1970,request threads 1-5,true,400505,1970,0,0
1474979743782,1869,request threads 1-6,true,400509,1868,0,0
1474979743689,1987,request threads 1-4,true,400507,1987,0,0
1474979744036,1696,request threads 1-16,true,400509,1690,0,0
1474979744115,1617,request threads 1-15,true,400507,1617,0,0
1474979744036,1725,request threads 1-14,true,400507,1725,0,0
1474979743782,1995,request threads 1-11,true,400507,1995,0,0
1474979743921,1976,request threads 1-1,true,400507,1976,0,0
1474979744526,1555,request threads 1-12,true,400505,1555,0,1
1474979744335,1798,request threads 1-17,true,400507,1797,0,0
1474979744737,1560,request threads 1-2,true,400505,1560,0,0
1474979744373,1934,request threads 1-19,true,400509,1933,0,0
1474979745117,1217,request threads 1-8,true,400505,1217,0,1
1474979744756,1802,request threads 1-3,true,400509,1801,0,0
1474979745777,862,request threads 1-11,true,400509,862,0,1
1474979744998,1756,request threads 1-10,true,400511,1756,0,0
1474979744948,1886,request threads 1-13,true,400509,1886,0,0
1474979745637,1266,request threads 1-5,true,400509,1266,0,1
1474979745613,1333,request threads 1-18,true,400511,1333,0,0
1474979745157,1911,request threads 1-7,true,400509,1911,0,1
1474979745651,1554,request threads 1-6,true,400505,1554,0,0
1474979745267,1988,request threads 1-20,true,400511,1988,0,1
1474979745426,1994,request threads 1-9,true,400505,1983,0,0
1474979745732,1688,request threads 1-15,true,400507,1683,0,0
1474979745676,1744,request threads 1-4,true,400511,1744,0,1
1474979746834,621,request threads 1-13,true,400505,620,0,1
1474979746754,749,request threads 1-10,true,400509,748,0,0
1474979746133,1529,request threads 1-17,true,400507,1529,0,0
1474979745761,1920,request threads 1-14,true,400507,1920,0,0
1474979746081,1644,request threads 1-12,true,400505,1644,0,0
1474979745732,2004,request threads 1-16,true,400509,2003,0,0
1474979746307,1486,request threads 1-19,true,400507,1486,0,2
1474979745897,1931,request threads 1-1,true,400511,1931,0,0
1474979746297,1820,request threads 1-2,true,400509,1819,0,1
1474979747455,669,request threads 1-13,true,400507,669,0,0
1474979746335,1875,request threads 1-8,true,400507,1875,0,0
1474979747255,1134,request threads 1-20,true,400511,1133,0,0
1474979746639,1880,request threads 1-11,true,400507,1880,0,0
1474979746558,1978,request threads 1-3,true,400505,1977,0,0
1474979746903,1846,request threads 1-5,true,400509,1846,0,0
1474979746946,1823,request threads 1-18,true,400507,1823,0,0
1474979747068,1719,request threads 1-7,true,400507,1719,0,0
1474979747420,1436,request threads 1-4,true,400509,1435,0,0
1474979747206,1722,request threads 1-6,true,400507,1721,0,0
1474979747503,1463,request threads 1-10,true,400507,1463,0,0
1474979747681,1530,request threads 1-14,true,400509,1524,0,0
1474979747662,1549,request threads 1-17,true,400511,1549,0,0
1474979747420,1835,request threads 1-15,true,400507,1835,0,1
1474979747420,2006,request threads 1-9,true,400511,2001,0,1
1474979747736,1690,request threads 1-16,true,400505,1680,0,0
1474979747726,1700,request threads 1-12,true,400511,1700,0,0
1474979748117,1402,request threads 1-2,true,400505,1402,0,0
1474979747828,1920,request threads 1-1,true,400515,1920,0,1
1474979747793,1979,request threads 1-19,true,400507,1979,0,0
1474979748856,1188,request threads 1-4,true,400505,1187,0,0
1474979748125,1963,request threads 1-13,true,400505,1963,0,0
1474979748787,1332,request threads 1-7,true,400509,1327,0,0
1474979748210,1909,request threads 1-8,true,400509,1909,0,1
1474979748389,1938,request threads 1-20,true,400509,1932,0,0
1474979748966,1361,request threads 1-10,true,400511,1361,0,0
1474979748769,1641,request threads 1-18,true,400507,1641,0,0
1474979748536,1902,request threads 1-3,true,400509,1901,0,0
1474979748520,1941,request threads 1-11,true,400509,1935,0,0
1474979748928,1533,request threads 1-6,true,400505,1533,0,0
1474979749426,1122,request threads 1-12,true,400507,1122,0,0
1474979748749,1899,request threads 1-5,true,400507,1899,0,1
1474979749211,1517,request threads 1-17,true,400505,1516,0,0
1474979749255,1516,request threads 1-15,true,400507,1516,0,0
1474979749772,1111,request threads 1-19,true,400505,1111,0,1
1474979749211,1792,request threads 1-14,true,400509,1792,0,0
1474979749426,1728,request threads 1-9,true,400507,1728,0,0
1474979749748,1544,request threads 1-1,true,400509,1544,0,0
1474979749519,1860,request threads 1-2,true,400511,1860,0,1
1474979749426,1984,request threads 1-16,true,400509,1984,0,0
1474979750088,1362,request threads 1-13,true,400505,1362,0,1
1474979750119,1552,request threads 1-7,true,400505,1552,0,0
1474979750044,1665,request threads 1-4,true,400507,1665,0,0
1474979750327,1686,request threads 1-10,true,400509,1685,0,0
1474979750438,1575,request threads 1-3,true,400505,1569,0,0
1474979750119,1965,request threads 1-8,true,400509,1965,0,0
1474979751003,1149,request threads 1-14,true,400507,1149,0,0
1474979750548,1681,request threads 1-12,true,400505,1680,0,0
1474979750327,1912,request threads 1-20,true,400505,1912,0,0
1474979750410,1911,request threads 1-18,true,400507,1911,0,0
1474979750461,1891,request threads 1-11,true,400505,1891,0,0
1474979750461,1963,request threads 1-6,true,400505,1963,0,0
1474979750648,1924,request threads 1-5,true,400507,1918,0,0
1474979750883,1689,request threads 1-19,true,400511,1689,0,0
1474979750728,1942,request threads 1-17,true,400505,1942,0,0
1474979751154,1577,request threads 1-9,true,400507,1577,0,0
